N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
60,SKC,"162,000","1,500",-0.92%,"5,000","61,347","37,868",16.62,"70,348",33.00,2.21,
61,현대제철,"44,650",250,+0.56%,"5,000","59,584","133,446",20.12,"352,912",6.84,-2.59,
62,LG유플러스,"13,500",100,-0.74%,"5,000","58,943","436,611",35.34,"340,536",15.02,6.46,
63,에스디바이오센서,"56,200",700,-1.23%,500,"58,038","103,271",7.13,"148,592",8.52,139.97,
64,KODEX 200,"39,235",135,-0.34%,0,"57,185","145,750",8.36,"1,075,027",N/A,N/A,
65,CJ제일제당,"379,500","1,500",+0.40%,"5,000","57,131","15,054",22.36,"10,192",12.94,13.50,
66,일진머티리얼즈,"121,500","2,000",-1.62%,500,"56,025","46,111",12.40,"77,109",88.17,7.23,
67,맥쿼리인프라,"13,800",100,-0.72%,0,"55,869","404,846",13.36,"684,440",N/A,N/A,
68,미래에셋증권,"8,450",40,-0.47%,"5,000","53,684","635,316",12.59,"227,258",5.78,8.94,
69,코웨이,"72,700",200,+0.28%,500,"53,652","73,800",60.41,"33,859",12.04,31.51,
70,현대건설,"46,700",0,0.00%,"5,000","52,003","111,356",22.03,"205,031",31.05,1.84,
71,삼성중공업,"5,890",110,+1.90%,"1,000","51,832","880,000",14.18,"3,328,945",-2.40,-33.06,
72,강원랜드,"24,150",150,+0.63%,500,"51,667","213,940",18.71,"185,942",-156.82,-7.92,
73,금호석유,"164,000","2,500",-1.50%,"5,000","49,967","30,468",18.22,"47,394",2.93,20.18,
74,한국타이어앤테크놀로지,"40,100",200,+0.50%,500,"49,674","123,875",41.42,"48,304",7.52,5.12,
75,삼성엔지니어링,"24,450","1,300",+5.62%,"5,000","47,922","196,000",35.71,"1,776,963",13.53,17.32,
76,메리츠화재,"37,450",900,-2.35%,500,"45,174","120,625",10.50,"100,923",7.77,16.91,
77,두산밥캣,"43,600",900,+2.11%,500,"43,709","100,249",25.22,"88,689",11.93,6.15,
78,현대중공업지주,"55,000",500,-0.90%,"1,000","43,446","78,993",16.41,"60,002",-12.75,-8.12,
79,한국금융지주,"77,500","1,400",-1.77%,"5,000","43,188","55,726",34.33,"58,191",2.65,16.27,
80,DB손해보험,"60,700","1,400",+2.36%,500,"42,976","70,800",42.91,"73,673",5.39,9.08,
81,유한양행,"60,900",200,-0.33%,"1,000","42,614","69,973",17.15,"57,386",46.17,11.06,
82,쌍용C&E,"8,260",10,+0.12%,100,"41,619","503,860",3.28,"742,161",20.20,7.92,
83,이마트,"149,000",500,-0.33%,"5,000","41,535","27,876",33.42,"12,540",3.00,4.05,
84,오리온,"104,000","1,500",+1.46%,500,"41,118","39,536",37.38,"24,605",17.29,15.50,
85,한진칼,"58,400",100,-0.17%,"2,500","38,976","66,739",14.50,"14,514",-66.51,-19.55,
86,삼성증권,"43,200","1,000",-2.26%,"5,000","38,578","89,300",29.04,"242,607",4.07,9.89,
87,현대오토에버,"140,500","3,000",-2.09%,500,"38,531","27,424",2.17,"101,961",51.00,11.09,
88,현대차2우B,"101,500","1,000",-0.98%,"5,000","37,033","36,485",61.61,"18,503",5.14,N/A,
89,메리츠증권,"5,400",110,+2.08%,"1,000","36,813","681,731",13.18,"707,079",5.48,13.08,
90,GS건설,"42,900",200,+0.47%,"5,000","36,714","85,581",25.54,"194,840",10.45,7.68,
91,GS,"39,500",50,-0.13%,"5,000","36,702","92,915",18.60,"37,797",3.58,-2.82,
92,삼성카드,"31,500",300,-0.94%,"5,000","36,496","115,859",7.06,"25,061",7.77,5.69,
93,아모레G,"43,750",50,-0.11%,500,"36,075","82,458",15.95,"25,045",24.56,0.31,
94,NH투자증권,"11,950",200,-1.65%,"5,000","35,496","297,034",17.38,"359,919",4.39,10.32,
95,한미사이언스,"51,900",800,-1.52%,500,"34,931","67,305",1.21,"25,066",65.78,3.47,
